client_id,commune,date_plainte,canal,type_plainte,statut,date_resolution
CUST0001,M'Sila,2025-05-06,Appel Call Center,Facturation,Résolu,2025-05-10
CUST0002,Bou Saâda,2025-12-13,Plainte Écrite,ADSL,Non Traité,
CUST0003,M'Sila,2025-01-17,,Service Client,En Cours,
CUST0004,M'Sila,2025-04-30,Appel Call Center,Fibre FTTH,Résolu,2025-05-09
CUST0005,M'Sila,2025-11-29,Plainte Écrite,Fibre FTTH,Résolu,2025-12-11
CUST0006,Ain El Hadjel,2025-10-29,Appel Call Center,Service Client,Résolu,2025-11-03
CUST0007,M'Sila,2025-06-24,Appel Call Center,Service Client,Résolu,2025-06-29
CUST0008,Bou Saâda,2025-02-22,Appel Call Center,Facturation,Non Traité,
CUST0009,M'Sila,2025-07-03,,ADSL,En Cours,
CUST0010,Sidi Aïssa,2025-01-23,Plainte Écrite,Facturation,En Cours,
CUST0011,Ain El Hadjel,2025-07-13,Plainte Écrite,ADSL,Résolu,2025-07-15
CUST0012,Sidi Aïssa,2025-07-05,Plainte Écrite,Interruption Réseau,Non Traité,
CUST0013,Bou Saâda,2025-01-24,Plainte Écrite,ADSL,En Cours,
CUST0014,Bou Saâda,2025-04-30,Formulaire Web,ADSL,Résolu,2025-05-14
CUST0015,M'Sila,2025-08-21,Formulaire Web,Facturation,Résolu,2025-09-01
CUST0016,Sidi Aïssa,2025-07-01,Appel Call Center,Facturation,Résolu,2025-07-05
CUST0017,Sidi Aïssa,2025-11-08,Plainte Écrite,ADSL,Résolu,2025-11-19
CUST0018,Bou Saâda,2025-03-25,Plainte Écrite,Fibre FTTH,Résolu,2025-04-02
CUST0019,Ain El Hadjel,2025-04-23,Formulaire Web,Interruption Réseau,Résolu,2025-05-04
CUST0020,Sidi Aïssa,2025-01-17,Appel Call Center,Fibre FTTH,Résolu,2025-01-30
CUST0021,Sidi Aïssa,2025-02-03,Formulaire Web,Facturation,En Cours,
CUST0022,Bou Saâda,2025-04-19,Plainte Écrite,Facturation,Résolu,2025-04-30
CUST0023,Ain El Hadjel,2025-03-15,Formulaire Web,Service Client,Résolu,2025-03-20
CUST0024,Bou Saâda,2025-10-03,Appel Call Center,Interruption Réseau,Résolu,2025-10-08
CUST0025,Ain El Hadjel,2025-07-05,Plainte Écrite,Service Client,Résolu,2025-07-09
CUST0026,Bou Saâda,2025-02-16,Plainte Écrite,Service Client,En Cours,
CUST0027,M'Sila,2025-11-18,,Fibre FTTH,Résolu,2025-11-21
CUST0028,Ain El Hadjel,2025-07-17,Plainte Écrite,ADSL,Résolu,2025-07-24
CUST0029,Ain El Hadjel,2025-10-11,Plainte Écrite,Facturation,Résolu,2025-10-25
CUST0030,M'Sila,2025-12-16,Plainte Écrite,ADSL,Résolu,2025-12-25
CUST0031,Sidi Aïssa,2025-02-27,Plainte Écrite,Facturation,En Cours,
CUST0032,Sidi Aïssa,2025-08-21,Formulaire Web,Fibre FTTH,Résolu,2025-08-22
CUST0033,Sidi Aïssa,2025-09-17,,Fibre FTTH,Résolu,2025-09-19
CUST0034,Sidi Aïssa,2025-11-08,,Interruption Réseau,Non Traité,
CUST0035,Bou Saâda,2025-03-24,Appel Call Center,Facturation,Non Traité,
CUST0036,M'Sila,2025-09-08,Plainte Écrite,Facturation,En Cours,
