client_id,commune,date_plainte,canal,type_plainte,statut,date_resolution
CUST1401,Bou Saâda,2025-07-14,Formulaire Web,Interruption Réseau,Nouvelle,
CUST1402,Bou Saâda,2025-12-04,Formulaire Web,Interruption Réseau,Nouvelle,
CUST1403,Bou Saâda,2025-04-02,Appel Call Center,Fibre FTTH,Nouvelle,
CUST1404,M'Sila,2025-06-08,Formulaire Web,Facturation,Nouvelle,
CUST1405,Ain El Hadjel,2025-03-02,Formulaire Web,Fibre FTTH,Nouvelle,
CUST1406,Bou Saâda,2025-11-15,Appel Call Center,ADSL,Nouvelle,
CUST1407,Sidi Aïssa,2025-09-12,Appel Call Center,Service Client,Nouvelle,
CUST1408,Ain El Hadjel,2025-11-08,Plainte Écrite,ADSL,Nouvelle,
CUST1409,Ain El Hadjel,2025-10-29,Appel Call Center,Fibre FTTH,Nouvelle,
CUST1410,Ain El Hadjel,2025-08-15,Formulaire Web,Service Client,Nouvelle,
CUST1411,M'Sila,2025-01-04,Plainte Écrite,Interruption Réseau,Nouvelle,
CUST1412,Sidi Aïssa,2025-04-17,Plainte Écrite,Interruption Réseau,Nouvelle,
CUST1413,Bou Saâda,2025-12-01,Appel Call Center,ADSL,Nouvelle,
CUST1414,M'Sila,2025-12-08,Appel Call Center,ADSL,Nouvelle,
CUST1415,Sidi Aïssa,2025-01-26,Formulaire Web,ADSL,Nouvelle,
CUST1416,Ain El Hadjel,2025-12-11,,Fibre FTTH,Nouvelle,
CUST1417,Sidi Aïssa,2025-10-21,Plainte Écrite,Interruption Réseau,Nouvelle,
CUST1418,Bou Saâda,2025-07-04,Formulaire Web,Interruption Réseau,Nouvelle,
CUST1419,M'Sila,2025-07-08,Formulaire Web,Facturation,Nouvelle,
CUST1420,M'Sila,2025-02-03,Formulaire Web,Interruption Réseau,Nouvelle,
CUST1421,Sidi Aïssa,2025-03-04,Formulaire Web,Fibre FTTH,Nouvelle,
CUST1422,Sidi Aïssa,2025-07-31,Formulaire Web,Interruption Réseau,Nouvelle,
CUST1423,Bou Saâda,2025-11-10,Plainte Écrite,Fibre FTTH,Nouvelle,
CUST1424,M'Sila,2025-02-14,,Interruption Réseau,Nouvelle,
CUST1425,Sidi Aïssa,2025-06-12,Formulaire Web,Interruption Réseau,Nouvelle,
CUST1426,Sidi Aïssa,2025-11-16,Plainte Écrite,Interruption Réseau,Nouvelle,
CUST1427,Sidi Aïssa,2025-10-16,Appel Call Center,Interruption Réseau,Nouvelle,
CUST1428,Ain El Hadjel,2025-11-09,Formulaire Web,Fibre FTTH,Nouvelle,
CUST1429,Bou Saâda,2025-04-10,Plainte Écrite,Facturation,Nouvelle,
CUST1430,M'Sila,2025-08-27,Appel Call Center,ADSL,Nouvelle,
CUST1431,M'Sila,2025-11-12,Plainte Écrite,Fibre FTTH,Nouvelle,
CUST1432,Ain El Hadjel,2025-06-29,Appel Call Center,Facturation,Nouvelle,
CUST1433,Bou Saâda,2025-12-20,,Fibre FTTH,Nouvelle,
CUST1434,Sidi Aïssa,2025-06-03,Appel Call Center,Facturation,Nouvelle,
CUST1435,Sidi Aïssa,2025-12-18,Appel Call Center,ADSL,Nouvelle,
CUST1436,Sidi Aïssa,2025-11-12,Formulaire Web,Interruption Réseau,Nouvelle,
CUST1437,Bou Saâda,2025-06-23,Appel Call Center,Facturation,Nouvelle,
CUST1438,Ain El Hadjel,2025-11-27,Formulaire Web,ADSL,Nouvelle,
CUST1439,Bou Saâda,2025-11-18,Formulaire Web,Fibre FTTH,Nouvelle,
CUST1440,Sidi Aïssa,2025-01-29,Formulaire Web,Service Client,Nouvelle,
CUST1441,Sidi Aïssa,2025-10-12,Plainte Écrite,Facturation,Nouvelle,
CUST1442,M'Sila,2025-12-17,Appel Call Center,Interruption Réseau,Nouvelle,
CUST1443,Sidi Aïssa,2025-05-24,Appel Call Center,Fibre FTTH,Nouvelle,
CUST1444,M'Sila,2025-11-17,Formulaire Web,Service Client,Nouvelle,
CUST1445,Bou Saâda,2025-07-19,Plainte Écrite,Interruption Réseau,Nouvelle,
CUST1446,Bou Saâda,2025-06-07,Plainte Écrite,ADSL,Nouvelle,
CUST1447,Sidi Aïssa,2025-05-20,Plainte Écrite,ADSL,Nouvelle,
CUST1448,Ain El Hadjel,2025-05-02,Appel Call Center,Service Client,Nouvelle,
CUST1449,Sidi Aïssa,2025-04-21,Formulaire Web,Facturation,Nouvelle,
CUST1450,Sidi Aïssa,2025-07-11,Appel Call Center,ADSL,Nouvelle,
CUST1451,M'Sila,2025-08-16,Appel Call Center,ADSL,Nouvelle,
CUST1452,M'Sila,2025-03-20,Formulaire Web,Interruption Réseau,Nouvelle,
CUST1453,Bou Saâda,2025-09-26,Formulaire Web,Service Client,Nouvelle,
CUST1454,Sidi Aïssa,2025-02-20,Formulaire Web,Fibre FTTH,Nouvelle,
CUST1455,Bou Saâda,2025-08-24,Appel Call Center,ADSL,Nouvelle,
CUST1456,M'Sila,2025-01-23,Appel Call Center,Facturation,Nouvelle,
CUST1457,M'Sila,2025-01-24,Formulaire Web,Service Client,Nouvelle,
CUST1458,M'Sila,2025-01-12,Plainte Écrite,Facturation,Nouvelle,
CUST1459,Sidi Aïssa,2025-06-14,Plainte Écrite,Fibre FTTH,Nouvelle,
CUST1460,Bou Saâda,2025-09-30,Formulaire Web,Facturation,Nouvelle,
CUST1461,Sidi Aïssa,2025-05-20,Formulaire Web,ADSL,Nouvelle,
CUST1462,Bou Saâda,2025-01-08,Formulaire Web,ADSL,Nouvelle,
CUST1463,M'Sila,2025-06-29,Appel Call Center,Interruption Réseau,Nouvelle,
CUST1464,Sidi Aïssa,2025-12-27,Formulaire Web,Fibre FTTH,Nouvelle,
CUST1465,Sidi Aïssa,2025-03-29,Plainte Écrite,Fibre FTTH,Nouvelle,
CUST1466,M'Sila,2025-06-23,Formulaire Web,Interruption Réseau,Nouvelle,
CUST1467,Ain El Hadjel,2025-01-15,Appel Call Center,Fibre FTTH,Nouvelle,
CUST1468,Ain El Hadjel,2025-02-24,Plainte Écrite,ADSL,Nouvelle,
CUST1469,M'Sila,2025-07-20,Appel Call Center,Service Client,Nouvelle,
CUST1470,Bou Saâda,2025-10-31,Plainte Écrite,Interruption Réseau,Nouvelle,
CUST1471,Ain El Hadjel,2025-06-09,Plainte Écrite,Facturation,Nouvelle,
CUST1472,Bou Saâda,2025-02-10,Plainte Écrite,Interruption Réseau,Nouvelle,
CUST1473,Ain El Hadjel,2025-02-17,Plainte Écrite,Fibre FTTH,Nouvelle,
CUST1474,Ain El Hadjel,2025-06-08,Appel Call Center,Service Client,Nouvelle,
CUST1475,Ain El Hadjel,2025-04-25,Formulaire Web,Fibre FTTH,Nouvelle,
CUST1476,Sidi Aïssa,2025-04-04,Formulaire Web,Service Client,Nouvelle,
CUST1477,Sidi Aïssa,2025-09-07,Formulaire Web,Service Client,Nouvelle,
CUST1478,M'Sila,2025-02-27,Appel Call Center,Service Client,Nouvelle,
CUST1479,Sidi Aïssa,2025-03-29,Formulaire Web,Service Client,Nouvelle,
CUST1480,Sidi Aïssa,2025-10-22,Formulaire Web,Interruption Réseau,Nouvelle,
CUST1481,M'Sila,2025-06-16,Formulaire Web,ADSL,Nouvelle,
CUST1482,M'Sila,2025-08-25,,Interruption Réseau,Nouvelle,
CUST1483,Ain El Hadjel,2025-05-05,Appel Call Center,Interruption Réseau,Nouvelle,
CUST1484,Bou Saâda,2025-02-03,Formulaire Web,Service Client,Nouvelle,
CUST1485,Bou Saâda,2025-08-09,Plainte Écrite,Interruption Réseau,Nouvelle,
CUST1486,Ain El Hadjel,2025-10-06,Plainte Écrite,Facturation,Nouvelle,
CUST1487,Bou Saâda,2025-12-31,Appel Call Center,ADSL,Nouvelle,
CUST1488,Ain El Hadjel,2025-11-02,Appel Call Center,Interruption Réseau,Nouvelle,
CUST1489,Ain El Hadjel,2025-02-19,Formulaire Web,Interruption Réseau,Nouvelle,
CUST1490,Ain El Hadjel,2025-07-27,Appel Call Center,Facturation,Nouvelle,
CUST1491,M'Sila,2025-07-14,Plainte Écrite,Interruption Réseau,Nouvelle,
CUST1492,Ain El Hadjel,2025-02-16,Plainte Écrite,ADSL,Nouvelle,
CUST1493,Bou Saâda,2025-03-17,Plainte Écrite,ADSL,Nouvelle,
CUST1494,Bou Saâda,2025-05-30,Formulaire Web,Interruption Réseau,Nouvelle,
CUST1495,Ain El Hadjel,2025-12-15,Appel Call Center,Fibre FTTH,Nouvelle,
CUST1496,Sidi Aïssa,2025-12-14,Formulaire Web,Interruption Réseau,Nouvelle,
CUST1497,Sidi Aïssa,2025-02-15,Formulaire Web,Facturation,Nouvelle,
